Dharmasraya;5945630.75;5811097.14;6101424.31;110039.9;107413.16;111962;987094.52;912437.57;965908.34;3091528.17;3080437.21;3209400.35;715.45;2417.07;20726.71;214554.38;329472.11;348044.02;10349563.18;10243274.28;10757465.74
Pasaman Barat;8926405.98;8694125.05;9083544.17;199922.6;192107.52;198785.48;1483454.15;1368795;1415586.1;4839487.25;4772051.04;4969422.18;216.29;721.84;33001.36;-48148.19;225200.39;233536.51;15401338.08;15253000.84;15933875.79
Kota Padang;32098460.8;31463857.33;32756921.06;732385.2;706582.32;734107.35;9860235.22;9165918.11;9521808.75;18712629.37;18233665.01;19030225.38;16421.66;63500.32;59673.89;1000338.57;2547482.99;3076124.4;62420470.82;62181006.08;65178860.84
Kota Solok;2115632.9;2102973.93;2197103.1;45365.35;43398.89;44927.46;717948.27;662414.76;687459.49;1100430.19;1081284.83;1138774.45;115.17;436.75;3571.3;68487.94;151130.67;180056.76;4047979.83;4041639.82;4251892.56
Kota Sawah Lunto;2086707.65;2059425.35;2151133.3;43438.32;42044.86;43665.36;706753.61;655959.69;688178.05;978905.63;962440.02;1022616.79;3003.85;9574.22;4869.44;-138958.84;-72853.16;-58770.75;3679850.22;3656590.97;3851692.19
Kota Padang Panjang;1870441.57;1853430.83;1936265.48;41432.99;39946.22;41125.26;682426.54;628484.46;649458.97;1106613.07;1084773.12;1132854.13;4886.47;15268.13;2023.7;-230968;-148671.84;-110609.31;3474832.65;3473230.92;3651118.22
Kota Bukittinggi;4715823.9;4725193.55;4931797.65;89686.13;84935.71;87786.44;1214265.59;1144444.9;1181847.09;2378812.11;2391092.36;2493722.21;5554;23189.24;10247.81;291174.88;258677.73;321163.37;8695316.61;8627533.47;9026564.58
Kota Payakumbuh;3314169.56;3249551.22;3383226.03;65408.29;63542.7;65522.22;899806.45;833278.78;881743.28;1795974.36;1745602.45;1820314.84;49056.22;185347.32;13477.19;700753.05;749772.31;1138225.8;6825167.93;6827094.79;7302509.35
Kota Pariaman;2700130.22;2662263.45;2786294.54;61547.97;59148.73;61456.72;720696.43;664077.72;695762.01;1411146.64;1397833.77;1466916.55;2213.21;8948.68;7574.58;109764.09;201821.25;240652.64;5005498.56;4994093.59;5258657.04
Kuantan Singingi;14309955.88;14524545.16;15768100.92;176607.81;182795.68;174477.17;1564569.94;1442835.06;1357669.36;15656030.47;15557276.31;16400363.51;89716.89;153470.42;33333.81;73081.41;1822647.84;5021978.84;31869962.39;33683570.47;38755923.6
