Lebong;2543051.67;2759740.83;124201.58;141929.52;770825.85;828328.96;2376340.48;2498408.98;1588.04;-22340.26;-1927090.89;-2046976.73;3888916.74;4159091.3
Kepahiang;3197740.47;3507182.21;139830.01;161850.02;782095.08;856381.69;2320369.66;2470558.4;20592.5;-25410.51;-1299865.54;-1354972.31;5160762.18;5615589.5
Bengkulu Tengah;3352814.61;3637166.94;71566.8;82113.13;617604.6;670917.63;2527842.47;2659476.77;8556.29;-132966.72;-33828.68;-251518.06;6544556.08;6665189.7
Kota Bengkulu;16653196.91;18475856.86;733298.92;847564.7;6643532.94;7322439.66;8294230.85;8921683.7;185211.65;-24524.55;-4419042.31;-4731612.52;28090428.96;30811407.84
Lampung Barat;6429352.52;7133025.03;225772.1;254554.95;1336246.48;1405037.26;3063880.1;3293486.85;19630.84;13899.3;-2795229.1;-3082049.24;8279652.93;9017954.16
Tanggamus;12945346.88;14222221.85;276520.64;315485.88;1615877.12;1690228.06;4428387.29;4762984.39;50184.44;32304.13;-1220576.95;-1414053.13;18095739.42;19609171.18
Lampung Selatan;28614440.01;31505213.26;708620.78;834012.41;2140725.85;2232065.15;18107159.77;19071422.94;430822.53;236341.94;1479005.33;1880344.07;51480774.27;55759399.77
Lampung Timur;30265670.38;32953494.12;770223.01;867152.35;2391552.67;2527884.24;14798609.24;15983076.6;-113177.99;-325316.63;1596982.44;868096.93;49709859.74;52874387.6
Lampung Tengah;43810130.22;48358174.62;1061787.07;1215871.32;2523322.97;2636655.84;27904596.83;30096273.53;26525.51;45295.93;7127694.72;7725336.38;82454057.32;90077607.62
Lampung Utara;16712250.36;18584413.74;857625.86;975991.74;1725722.43;1793552.47;9008770.58;9693955.25;1335.5;1517.62;-1260080.8;-1788875.31;27045623.94;29260555.51
Way Kanan;10291314.79;11313349.15;239489.89;274426.45;1186047.88;1244926.79;5208678.82;5604569.58;16877.71;17970.55;-789489.88;-981829.89;16152919.21;17473412.64
Tulangbawang;15673289.49;17284281.96;394544.94;450479.64;1149823.35;1197527.78;9436883.91;10138330.38;55956.54;39602.05;-727414.13;-912969.28;25983084.09;28197252.51
Pesawaran;10816876.96;11978480.23;250072.55;282853.83;1103133.81;1146733.09;5702620.94;6156141.62;5485.39;31867.43;723046.22;621304.02;18601235.86;20217380.22
Pringsewu;10932907.93;11938904.16;217340.34;248963.75;869820.89;900486.46;3947912.3;4252672.84;266138.42;290692.91;-3392016.03;-3621674.54;12842103.86;14010045.58
Mesuji;6883499.36;7648223.44;166779.89;187936.81;536112.67;555111.21;3631841.1;4027534.08;2908.74;2991.54;731847.8;526756.74;11952989.56;12948553.82
Tulang Bawang Barat;8822019.73;9728086.98;163250.25;187078.52;723376.66;756431.09;4144408.68;4452661.34;84807.66;89176.8;-704848.16;-823030.41;13233014.81;14390404.32
Pesisir Barat;3717251.65;4090885.64;96188.09;110368.92;147233.92;152010.15;1205950.62;1284164.43;7456.69;3464.32;171287.18;93666.66;5345368.15;5734560.11
Kota Bandar Lampung;41368851.74;45326520.04;1130004.97;1313507.19;11061676;11534583.16;22487468.27;24165185.35;225323.93;657491.75;-8391650.2;-8893607.04;67881674.72;74103680.46
Kota Metro;5211035.84;5755432.31;137887.37;157168.9;953943.49;995810.91;1571266.65;1689321.15;44873.28;15077.75;-694714.72;-747347.64;7224291.91;7865463.38
Bangka;11353641.44;12141615.85;109292.61;118978.4;1397518.84;1538895.92;3959304.56;4329498.73;19159.96;14632.56;1119909.35;1155225.86;17958826.77;19298847.32
Belitung;6891419.57;7400158.55;90741.77;97955.97;1271149.33;1402610.78;3271040.42;3571695.29;33898.89;32965.53;764123.87;1004619.24;12322373.86;13510005.36
Bangka Barat;8516736.21;8982298.53;91470.48;98786.01;955331.21;1047391.68;3240121.69;3544536.49;43667.37;45422.93;3914116.61;3973426.09;16761443.58;17691861.73
Bangka Tengah;7479961.91;7876502.05;89491.09;97132.83;1256020.16;1379342.83;2956930.89;3198687.94;1890.74;1712.81;-1261178.7;-1126106.62;10523116.08;11427271.83
Bangka Selatan;6882479.57;7300081.75;71862.83;80964.84;853343.74;975845.34;2840596.83;2992424.38;21316.39;22788.98;23383.71;-85.01;10692983.07;11372020.28
Belitung Timur;5244550.67;5579688.87;69257.42;74578.42;1091592.62;1188387.91;2814859.22;3064290.79;42338.21;46385.21;522008.08;608599.56;9784606.22;10561930.75
Kota Pangkal Pinang;8330264.93;8883585.51;153000.37;165134.37;2289688.59;2529584.69;4949704.91;5513339.64;12228.73;12010;1542651.7;1705127.95;17277539.23;18808782.14
Karimun;9853919.26;10806097.51;154995.77;175478.76;1627828.03;1740966;5711085.09;6390801.46;153392.25;163732.63;-1946722.97;-2260102.01;15554497.43;17016974.35
Bintan;12404952.33;13601155.34;29468.25;33029.67;1794153.78;1962006.56;13571336;15048775.88;264505.31;180188.07;-5068638.19;-5741370.18;22995777.49;25083785.34
Natuna;4383165.06;4860621.05;13113.63;14821.59;1990568.05;2088561.92;3722576.26;4036858.81;210663.06;32237.15;13945343.79;12486781.87;24265429.84;23519882.39
Lingga;2897515;3166437.23;17670.42;19790.95;1047277.91;1152578.73;2032992.64;2266483.01;43143.73;30640.51;-1185989.57;-1386172.11;4852610.13;5249758.32
Kepulauan Anambas;2622334.6;2896544.41;12347.66;13623.83;1596956.06;1767840.99;3556764.29;3942916.87;126981.18;159690.8;11993706;10460869.04;19909089.78;19241485.93
Kota Batam;77905152.56;85660429.16;434074.61;476296.15;2500969.55;2788093.29;88855676.85;101753011.6;765977.42;1394057.58;24374406.18;24025827.33;194836257.2;216097715.2
Kota Tanjung Pinang;13645987.63;14968240.21;82746.66;89875.75;4128336.98;4773706.29;9337840.88;9517683.47;335186.77;306418.28;-5737627.31;-6122262.13;21792471.59;23533661.88
Kep. Seribu;3141347.33;3417292.69;952448.16;1080273.53;566348.58;560385.73;395685.73;423488.94;70001.36;87980.79;5000498.46;2644182.72;10126329.62;8213604.41
Kota Jakarta Selatan;477421693;518168040.1;17420075.68;19761372.84;141006959.6;137033583.4;242228607.4;258605540.1;2338104.28;2661796.58;-149720219.7;-143615599.7;730695220.2;792614733.3
Kota Jakarta Timur;479639336.8;520187809.1;13310471.87;15067001.35;23642445.58;23084885.19;181484355;193908340.4;3107875.61;3101317.59;-154102189.7;-163118916;547082295.2;592230437.7
Kota Jakarta Pusat;185528394.4;201244308.9;8481895.89;9546381.69;218361703.1;216709121.9;217171509.1;233021556.4;1713304;1548655.65;164137991.4;197979335.2;795394797.9;860049359.9
